;;;;
Förnamn och antal bärare för folkbokförda kvinnor 31 december 2022;;;;
Förnamn med minst två bärare;;;;
;;;;
Förnamn;Antal bärare;;;
ABDELSAHEB;2;;;
ABDELSALAM;33;;;
ABDELSAMAD;4;;;
ABDELSAMIE;2;;;
ABDELSATAR;3;;;
ABDELSATTAR;8;;;
ABDELSAYED;5;;;
ABDELSHAFI;2;;;
ABDELSHAFIA;2;;;
ABDELSHAHID;10;;;
ABDELWAHAB;30;;;
ABDELWAHED;5;;;
ABDELWANIS;2;;;
ABDELWASE;5;;;
ABDELWASIE;2;;;
ABDELWASSEE;2;;;
ABDEN;2;;;
ABDERAHMAN;2;;;
ABDERAMAN;4;;;
ABDERHMAN;2;;;
ABDERRAHMAN;5;;;
ABDERRAHMANE;6;;;
ABDERRAHMEN;2;;;
ABDERRAZAK;4;;;
ABDESSLAM;2;;;
ABDI;2 534;;;
ABDI-AZIZ;3;;;
ABDI-FATAH;3;;;
ABDI-NAJAH;2;;;
ABDI-NASIR;3;;;
ABDI-NUR;4;;;
ABDI-SALAM;3;;;
ABDI-SHAKUR;2;;;
ABDI-WAHAB;2;;;
ABDI-WELI;3;;;
ABDIA;4;;;
ABDIALI;3;;;
ABDIASIIS;5;;;
ABDIASIS;34;;;
ABDIAZIIS;2;;;
ABDIAZIIZ;8;;;
ABDIAZIZ;154;;;
ABDIBILE;2;;;
ABDICASIS;2;;;
ABDIDAHIR;8;;;
ABDIDEQ;2;;;
ABDIFADIR;2;;;
ABDIFATAAH;4;;;
ABDIFATAH;172;;;
ABDIFATHA;3;;;
ABDIFATTAH;6;;;
ABDIFETAAH;3;;;
ABDIFITAH;35;;;
ABDIFITAX;2;;;
ABDIGABER;3;;;
ABDIGADAR;6;;;
ABDIGADIR;3;;;
ABDIGAFAAR;3;;;
ABDIGANI;16;;;
ABDIGHANI;2;;;
ABDIHADI;2;;;
ABDIHAFID;8;;;
ABDIHAHIM;2;;;
ABDIHAKEM;3;;;
ABDIHAKIIM;4;;;
ABDIHAKIM;71;;;
ABDIHAKIN;26;;;
ABDIHALIIM;2;;;
ABDIHALIM;2;;;
ABDIHAMID;10;;;
ABDIHIIS;2;;;
ABDIIHAKIM;2;;;
ABDIJABAAR;2;;;
ABDIJABAR;3;;;
ABDIJALIL;6;;;
ABDIJIBAR;2;;;
ABDIKAAFI;5;;;
ABDIKADAR;5;;;
ABDIKADER;2;;;
ABDIKADIR;162;;;
ABDIKAFI;11;;;
ABDIKAHADER;2;;;
ABDIKAMIL;3;;;
ABDIKANI;23;;;
ABDIKARIIM;2;;;
ABDIKARIIN;2;;;
ABDIKARIM;221;;;
ABDIKARIN;33;;;
ABDIKASSIM;2;;;
ABDIKHADAR;12;;;
ABDIKHADER;2;;;
ABDIKHADIR;5;;;
ABDIKHANI;2;;;
ABDIKHAYR;5;;;
ABDIL;4;;;
ABDILAAHI;17;;;
ABDILADIF;9;;;
ABDILAH;3;;;
ABDILAHI;58;;;
ABDILATIF;3;;;
ABDILAZIZ;2;;;
ABDILE;4;;;
ABDILKADIR;5;;;
ABDILKARIM;4;;;
ABDILLAAHI;2;;;
ABDILLAH;5;;;
ABDILLAHI;82;;;
ABDILLE;9;;;
ABDILRAHMAN;4;;;
ABDIMAHAD;4;;;
ABDIMAHIN;2;;;
ABDIMAJID;4;;;
ABDIMALIK;8;;;
ABDIMUNEIM;3;;;
ABDIN;5;;;
ABDINAASIR;11;;;
ABDINAFA;2;;;
ABDINASER;9;;;
ABDINASIR;131;;;
ABDINASSER;10;;;
ABDINAZIR;2;;;
ABDINOOR;16;;;
ABDINOR;6;;;
ABDINOUR;2;;;
ABDINUR;57;;;
ABDINUUR;21;;;
ABDIO;4;;;
ABDIQAADIR;9;;;
ABDIQADAR;4;;;
ABDIQADIR;56;;;
ABDIQAFAAR;6;;;
ABDIQAFAR;8;;;
ABDIQANI;44;;;
ABDIRAHAMAN;5;;;
ABDIRAHIIM;2;;;
ABDIRAHIM;70;;;
ABDIRAHIN;12;;;
ABDIRAHMAAN;19;;;
ABDIRAHMAN;947;;;
ABDIRAHOY;4;;;
ABDIRAMAN;4;;;
ABDIRASAK;10;;;
ABDIRASAQ;8;;;
ABDIRASCID;2;;;
ABDIRASHID;232;;;
ABDIRASHIID;9;;;
ABDIRAXMAN;2;;;
ABDIRAZAK;26;;;
ABDIRAZAQ;9;;;
ABDIREHMAN;2;;;
ABDIRESAQ;3;;;
ABDIRESHID;2;;;
ABDIRHAMAN;2;;;
ABDIRIHMAN;3;;;
ABDIRISAAK;6;;;
ABDIRISAAQ;17;;;
ABDIRISACK;5;;;
ABDIRISAK;103;;;
ABDIRISAKH;4;;;
