;;;;
Förnamn och antal bärare för folkbokförda män 31 december 2022;;;;
Förnamn med minst två bärare;;;;
;;;;
Förnamn;Antal bärare;;;
ABDEL RAHMAN;9;;;
ABDEL SALAM;2;;;
ABDEL WAHAB;2;;;
ABDEL-AHAD;2;;;
ABDEL-AMIR;2;;;
ABDEL-AZIZ;3;;;
ABDEL-GHANI;2;;;
ABDEL-HAFIZ;2;;;
ABDEL-HAKEM;2;;;
ABDEL-HAKIM;5;;;
ABDEL-HALIM;2;;;
ABDEL-HAMED;2;;;
ABDEL-HAMID;5;;;
ABDEL-ILAH;8;;;
ABDEL-KADER;4;;;
ABDEL-KARIM;10;;;
ABDEL-LATIF;7;;;
ABDEL-MAJID;2;;;
ABDEL-MONSEF;3;;;
ABDEL-QADER;5;;;
ABDEL-RAHIM;3;;;
ABDEL-RAHMAN;15;;;
ABDEL-RAZZAQ;2;;;
ABDEL-SALAM;5;;;
ABDELA;43;;;
ABDELAAL;19;;;
ABDELAALI;4;;;
ABDELAATI;2;;;
ABDELAATY;2;;;
ABDELAAZIZ;4;;;
ABDELADIM;3;;;
ABDELAH;6;;;
ABDELAHAD;32;;;
ABDELAHI;2;;;
ABDELAKHER;2;;;
ABDELALEIM;2;;;
ABDELALI;33;;;
ABDELALIM;13;;;
ABDELAMEER;4;;;
ABDELAMIR;14;;;
ABDELASIS;4;;;
ABDELATI;3;;;
ABDELATIF;19;;;
ABDELATTI;2;;;
ABDELAZEEZ;3;;;
ABDELAZIM;15;;;
ABDELAZIZ;280;;;
ABDELAZZEM;3;;;
ABDELBAGI;2;;;
ABDELBAKER;5;;;
ABDELBAKI;8;;;
ABDELBAKY;3;;;
ABDELBARI;5;;;
ABDELBASET;8;;;
ABDELBASIT;4;;;
ABDELBASOT;2;;;
ABDELBASSET;8;;;
ABDELBASSIT;2;;;
ABDELBAST;3;;;
ABDELDAIM;2;;;
ABDELDINE;2;;;
ABDELDJALIL;4;;;
ABDELELAH;2;;;
ABDELFATAH;36;;;
ABDELFATTAH;73;;;
ABDELFETTAH;5;;;
ABDELGADER;8;;;
ABDELGADIR;38;;;
ABDELGAID;2;;;
ABDELGALIL;12;;;
ABDELGANI;3;;;
ABDELGAWAD;6;;;
ABDELGHADER;2;;;
ABDELGHAFAR;5;;;
ABDELGHAFFAR;4;;;
ABDELGHAFOUR;4;;;
ABDELGHANI;38;;;
ABDELGHANY;11;;;
ABDELHADI;58;;;
ABDELHADY;15;;;
ABDELHAFEEZ;7;;;
ABDELHAFEZ;9;;;
ABDELHAFID;12;;;
ABDELHAFIDH;4;;;
ABDELHAFIZ;20;;;
ABDELHAI;7;;;
ABDELHAK;31;;;
ABDELHAKAM;2;;;
ABDELHAKEEM;2;;;
ABDELHAKEM;2;;;
ABDELHAKIM;52;;;
ABDELHALEEM;2;;;
ABDELHALEM;3;;;
ABDELHALIM;28;;;
ABDELHAMED;11;;;
ABDELHAMEED;9;;;
ABDELHAMEID;2;;;
ABDELHAMID;121;;;
ABDELHAMZA;5;;;
ABDELHAQ;9;;;
ABDELHASSAN;4;;;
ABDELHAY;26;;;
ABDELHLEEM;3;;;
ABDELHUSEIN;2;;;
ABDELHUSSEIN;9;;;
ABDELILAH;42;;;
ABDELILLAH;7;;;
ABDELJABAR;5;;;
ABDELJABBAR;12;;;
ABDELJALIL;14;;;
ABDELJAWAD;8;;;
ABDELJELIL;5;;;
ABDELKABIR;3;;;
ABDELKADER;200;;;
ABDELKADHER;2;;;
ABDELKADIR;33;;;
