;;;;
Tilltalsnamn, antal bärare och medelålder för folkbokförda kvinnor 31 december 2022;;;;
Tilltalsnamn med minst två bärare, medelålder redovisas där antal bärare är 10 eller fler;;;;
;;;;
Tilltalsnamn;Antal bärare;Medelålder;;
ADELINA-MARIA;2;-;;
ADELINDE;3;-;;
ADELINE;313;14;;
ADELINË;4;-;;
ADÉLINE;2;-;;
ADELINN;9;-;;
ADELINNE;6;-;;
ADELISA;66;22;;
ADELISE;2;-;;
ADELISSA;4;-;;
ADELITA;5;-;;
ADELIYA;2;-;;
ADELJA;2;-;;
ADELJINA;2;-;;
ADELKA;2;-;;
ADELL;18;9,5;;
ADELLA;31;10;;
ADELLE;146;8,8;;
ADELMA;4;-;;
ADELYA;7;-;;
ADELYN;6;-;;
ADEMA;6;-;;
ADEN;20;17,9;;
ADENA;13;23,5;;
ADENIKE;10;37,2;;
ADEOLA;5;-;;
ADER;3;-;;
ADERINA;2;-;;
ADESA;2;-;;
ADESOLA;4;-;;
ADESSA;3;-;;
ADESUWA;9;-;;
ADETOLA;2;-;;
ADETOUN;2;-;;
ADEVIJA;13;68,3;;
ADEVIYE;3;-;;
ADEY;11;26,5;;
ADEYINKA;2;-;;
ADHANET;50;38,3;;
ADHANOM;2;-;;
ADHARA;2;-;;
ADHARI;2;-;;
ADHBA;2;-;;
ADHIRA;4;-;;
ADHORA;2;-;;
ADHRA;6;-;;
ADHRAA;19;31,3;;
ADHVIKA;2;-;;
ADHYA;5;-;;
ADI;5;-;;
ADIA;12;25,1;;
ADIAM;180;31,2;;
ADIAN;31;18,8;;
ADIANA;4;-;;
ADIANEZ;2;-;;
ADIBA;124;52,8;;
ADIBE;3;-;;
ADIBÉ;2;-;;
ADIBEH;9;-;;
ADIDJA;4;-;;
ADIEL;2;-;;
ADIELA;5;-;;
ADIELLA;2;-;;
ADIFET;5;-;;
ADIFETE;8;-;;
ADIGONI;2;-;;
ADIINA;2;-;;
ADIJA;2;-;;
ADIJANA;3;-;;
ADIKA;2;-;;
ADILA;103;44,4;;
ADILAH;6;-;;
ADILE;51;48,6;;
ADILI;2;-;;
ADILIA;3;-;;
ADILJA;6;-;;
ADILLA;2;-;;
ADILLAH;2;-;;
ADILYA;3;-;;
ADIMA;2;-;;
ADIN;2;-;;
ADINA;737;23,7;;
ADINAH;3;-;;
ADINA-LI;2;-;;
ADINDA;4;-;;
ADINE;40;27,4;;
ADINEH;4;-;;
ADIOLA;2;-;;
ADIRA;6;-;;
ADIS;5;-;;
ADISA;211;38,4;;
ADISE;2;-;;
ADISHA;2;-;;
ADISIA;2;-;;
ADITA;5;-;;
ADITHI;7;-;;
ADITI;73;22,2;;
ADITRI;11;5,8;;
ADITYA;3;-;;
ADIVA;6;-;;
ADIVIJE;2;-;;
ADIYA;8;-;;
ADIYAM;6;-;;
ADIYASUREN;2;-;;
ADJA;11;23,1;;
ADJANI;2;-;;
ADJI;5;-;;
ADJIA;2;-;;
ADJO;2;-;;
ADJOA;2;-;;
ADJOUA;6;-;;
ADJOVI;2;-;;
ADLA;45;39,8;;
ADLAN;3;-;;
ADLE;4;-;;
ADLEN;3;-;;
ADLI;2;-;;
ADLIJE;5;-;;
ADLIN;4;-;;
ADLINA;3;-;;
ADLINE;2;-;;
ADLJIJE;2;-;;
ADMA;6;-;;
ADMAS;2;-;;
ADMELA;2;-;;
ADMIRA;89;41,7;;
ADMIRANDA;2;-;;
ADN;3;-;;
ADNA;334;16;;
ADNAH;2;-;;
ADNANA;25;36,7;;
ADNELA;7;-;;
ADNI;15;15,1;;
ADNIN;2;-;;
ADNO;17;17,4;;
ADOL;2;-;;
ADOLFINA;2;-;;
ADOLFINE;2;-;;
ADOLPHINE;4;-;;
ADONAI;2;-;;
ADONAY;2;-;;
ADONIA;7;-;;
ADORA;74;8,9;;
ADORABLE;2;-;;
ADORACION;4;-;;
ADORI;2;-;;
ADORIA;3;-;;
ADRA;10;36,6;;
ADRAA;6;-;;
ADREANA;4;-;;
ADRI;3;-;;
ADRIA;13;12,9;;
ADRIAN;38;23,9;;
ADRIANA;1219;31,2;;
ADRIÁNA;2;-;;
ADRIANA-CRISTINA;2;-;;
ADRIANA-MARIA;3;-;;
ADRIANE;11;44,5;;
ADRIANNA;103;29,1;;
ADRIANNE;9;-;;
ADRIEL;7;-;;
ADRIELLE;6;-;;
ADRIEN;5;-;;
ADRIENE;2;-;;
ADRIENN;61;36,7;;
ADRIENNE;186;31,2;;
ADRIÉNNE;2;-;;
ADRIJA;16;12,1;;
ADRIJANA;90;29,1;;
ADRIKA;2;-;;
ADRIN;2;-;;
ADRINA;65;10,5;;
ADRINE;5;-;;
ADRINEH;4;-;;
ADRITA;9;-;;
ADRIYANA;4;-;;
ADULIS;2;-;;
ADUNIA;3;-;;
ADUT;2;-;;
ADVAITHA;2;-;;
ADVIE;2;-;;
ADVIJA;28;53,7;;
ADVIJE;17;50,5;;
ADVIKA;16;4,8;;
ADVITA;2;-;;
ADVIYE;3;-;;
ADWAA;3;-;;
ADWIKA;2;-;;
ADWOA;4;-;;
ADY;4;-;;
ADYA;5;-;;
ADYAM;27;29,8;;
ADYAN;6;-;;
ADYASHA;5;-;;
ADZIJE;2;-;;
AE;8;-;;
AEA;8;-;;
AECHA;2;-;;
AEDA;17;49,2;;
AEDAH;21;56,7;;
AEDIN;2;-;;
AEIDA;2;-;;
AEISHA;3;-;;
AE-JA;2;-;;
AEKATERINI;2;-;;
AELA;15;8,9;;
AELAF;2;-;;
AELIA;7;-;;
AELITA;6;-;;
AELLA;2;-;;
AEMAN;6;-;;
AEMELIA;2;-;;
AEMON;2;-;;
AENA;2;-;;
AENAS;4;-;;
AENDA;3;-;;
AEO;3;-;;
AERIN;3;-;;
AERIS;3;-;;
AESA;3;-;;
AESHA;35;31,9;;
AESHAH;15;27,8;;
AESHE;2;-;;
AET;5;-;;
AEVA;2;-;;
AEW;2;-;;
AEYA;3;-;;
AEYSHA;5;-;;
AFAAF;5;-;;
AFAF;218;46,5;;
AFAG;5;-;;
AFAGH;12;55,8;;
AFAK;3;-;;
AFAMIA;6;-;;
AFAN;3;-;;
AFAQ;5;-;;
AFARIN;5;-;;
AFAT;4;-;;
AFDAL;3;-;;
AFEEFA;2;-;;
AFEF;7;-;;
AFENI;2;-;;
AFERA;2;-;;
AFERDITA;209;42,4;;
AFËRDITA;14;41,4;;
AFERDITE;5;-;;
AFERET;2;-;;
AFET;7;-;;
AFETA;2;-;;
AFETE;4;-;;
AFFAF;4;-;;
AFFENTRA;2;-;;
AFFI;5;-;;
AFFNAN;2;-;;
